timestamp,ip,track,artist,device,country,latitude,longitude,city,region,country_full
2023-07-21T09:43:28Z,92.184.112.113,"Great Balls Of Fire - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T09:45:49Z,92.184.112.113,"Good Golly, Miss Molly - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T09:49:24Z,92.184.112.113,"Lewis' Boogie - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T09:55:01Z,92.184.112.113,"Your Cheating Heart - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T09:57:32Z,92.159.204.72,"Hound Dog - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T09:59:25Z,92.184.112.113,"Long, Tall Sally - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T10:03:51Z,92.159.204.72,"Whole Lotta Shakin' Goin' On - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:18:27Z,92.159.204.72,Nsera,Fatoumata Diawara,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:22:08Z,92.159.204.72,Le Dernier Jour du Disco,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:25:55Z,92.159.204.72,Qu'importe,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:28:40Z,92.159.204.72,Tu me Play,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:32:05Z,92.159.204.72,Boum Boum Baby,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:34:48Z,92.159.204.72,Je ne pense qu'à ça,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:38:23Z,92.159.204.72,Vertigo,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:41:49Z,92.159.204.72,HB2U,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:46:24Z,92.159.204.72,Le Rouge aux Joues,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:49:20Z,92.159.204.72,L’Épine,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:52:27Z,92.159.204.72,J'te l'donne,Juliette Armanet,ios,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-21T13:56:43Z,92.184.108.234,Sauver Ma Vie,Juliette Armanet,ios,FR,46.5798,0.341688,Poitiers,Nouvelle-Aquitaine,France
2023-07-22T07:10:25Z,92.159.204.72,Wichita Vortex Sutra,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T07:16:05Z,92.159.204.72,Metamorphosis: One,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T07:23:26Z,92.159.204.72,Metamorphosis: Two,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T07:28:59Z,92.159.204.72,Metamorphosis: Three,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T07:36:00Z,92.159.204.72,Metamorphosis: Four,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T07:41:06Z,92.159.204.72,Metamorphosis: Five,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T07:55:07Z,92.159.204.72,Mad Rush,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T08:01:58Z,92.159.204.72,Wichita Vortex Sutra,Philip Glass,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T13:09:52Z,92.184.100.76,Metamorphosis: One,Philip Glass,android,FR,43.7405,7.314,La Trinité,Provence-Alpes-Côte d'Azur,France
2023-07-22T13:32:44Z,92.159.204.72,On the Corner / New York Girl / Thinkin' of One Thing and Doin' Another / Vote for Miles,Miles Davis,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T15:47:25Z,92.159.204.72,Poupée de Cire Poupée de Son - Radio edit,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T15:48:46Z,92.159.204.72,La soif d'amour,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T15:50:32Z,92.159.204.72,Lovin' Feeling,French 79,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T15:52:18Z,92.159.204.72,Diamond Veins (feat. Sarah Rebecca),French 79,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T15:57:27Z,92.159.204.72,Les écorces d'orange,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T16:03:43Z,92.159.204.72,Я нема как рыба,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T16:07:47Z,92.159.204.72,Горький вкус вина,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T16:10:53Z,92.159.204.72,Montgolfière,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T16:14:13Z,92.159.204.72,Poupée de Cire Poupée de Son - Radio edit,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
2023-07-22T16:17:02Z,92.159.204.72,Я не знаю,Citron Sucré,android,FR,45.748,4.85,Lyon,Auvergne-Rhône-Alpes,France
